ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2018-05-01T00:00:00.000000000Z,35,2,7177,264.570000000,265.520000000,262.110000000,265.380000000,12166986,SPY
2018-05-01T00:00:00.000000000Z,35,2,7661,296.640000000,301.050000000,292.500000000,301.050000000,1533098,TSLA
2018-05-01T00:00:00.000000000Z,35,2,375,1566.130000000,1590.980000000,1552.180000000,1588.000000000,1266640,AMZN
2018-05-01T00:00:00.000000000Z,35,2,6628,99.600000000,99.900000000,98.900000000,99.900000000,19078,RSP
2018-05-01T00:00:00.000000000Z,35,2,5557,224.300000000,228.730000000,222.200000000,228.500000000,1926596,NVDA
2018-05-01T00:00:00.000000000Z,35,2,3363,1022.000000000,1045.000000000,1010.550000000,1039.000000000,616922,GOOGL
2018-05-01T00:00:00.000000000Z,35,2,13,166.400000000,178.000000000,165.270000000,175.200000000,13282876,AAPL
2018-05-01T00:00:00.000000000Z,35,2,5756,45.600000000,46.100000000,45.390000000,46.010000000,1105312,ORCL
2018-05-01T00:00:00.000000000Z,35,2,5156,94.460000000,95.500000000,92.790000000,95.330000000,9935579,MSFT
2018-05-01T00:00:00.000000000Z,35,2,5367,312.540000000,314.460000000,306.750000000,313.800000000,1725554,NFLX
2018-05-01T00:00:00.000000000Z,35,2,328,10.900000000,11.180000000,10.770000000,11.150000000,9659991,AMD
2018-05-01T00:00:00.000000000Z,35,2,3193,22.220000000,22.365000000,22.050000000,22.320000000,4053346,GDX
2018-05-02T00:00:00.000000000Z,35,2,3194,22.410000000,22.765000000,22.305000000,22.470000000,6938302,GDX
2018-05-02T00:00:00.000000000Z,35,2,7180,265.270000000,265.680000000,262.360000000,262.710000000,12409460,SPY
2018-05-02T00:00:00.000000000Z,35,2,13,174.920000000,177.750000000,173.660000000,176.500000000,16471381,AAPL
2018-05-02T00:00:00.000000000Z,35,2,6630,99.650000000,99.940000000,98.950000000,99.070000000,10848,RSP
2018-05-02T00:00:00.000000000Z,35,2,5757,46.030000000,46.070000000,45.480000000,45.510000000,959336,ORCL
2018-05-02T00:00:00.000000000Z,35,2,328,11.080000000,11.150000000,10.960000000,10.970000000,5849711,AMD
2018-05-02T00:00:00.000000000Z,35,2,5368,313.960000000,317.110000000,310.400000000,312.960000000,1478626,NFLX
2018-05-02T00:00:00.000000000Z,35,2,375,1592.000000000,1594.500000000,1566.600000000,1568.600000000,1324244,AMZN
2018-05-02T00:00:00.000000000Z,35,2,3364,1044.000000000,1044.000000000,1023.000000000,1026.250000000,727676,GOOGL
2018-05-02T00:00:00.000000000Z,35,2,7664,300.470000000,311.640000000,282.220000000,287.500000000,2633264,TSLA
2018-05-02T00:00:00.000000000Z,35,2,5157,95.250000000,95.590000000,93.110000000,93.470000000,9481302,MSFT
2018-05-02T00:00:00.000000000Z,35,2,5558,228.060000000,228.800000000,225.260000000,225.620000000,1834739,NVDA
